time,G(i),H_sun,T2m,WS10m,,Price
20130101:0011,0,0,7.13,5.52,1/1/2013,14.03
20130101:0111,0,0,6.83,5.02,1/1/2013,11.06
20130101:0211,0,0,6.54,4.51,1/1/2013,8.5
20130101:0311,0,0,6.24,4.01,1/1/2013,0.1
20130101:0411,0,0,5.89,3.81,1/1/2013,2.01
20130101:0511,0,0,5.53,3.6,1/1/2013,22.81
20130101:0611,0,0,5.18,3.39,1/1/2013,27.93
20130101:0711,0,0,5.07,3.54,1/1/2013,28.01
20130101:0811,0,0.29,4.95,3.7,1/1/2013,27.8
20130101:0911,19.87,5.32,4.84,3.85,1/1/2013,27.35
20130101:1011,9.94,8.73,4.88,4.29,1/1/2013,28.22
20130101:1111,316.49,10.27,4.93,4.72,1/1/2013,30.27
20130101:1211,246.46,9.81,4.97,5.16,1/1/2013,30.27
20130101:1311,357.74,7.39,4.78,4.77,1/1/2013,31.02
20130101:1411,7.23,3.2,4.6,4.38,1/1/2013,32.36
20130101:1511,0,0,4.41,3.99,1/1/2013,33.64
20130101:1611,0,0,4.26,3.97,1/1/2013,34.43
20130101:1711,0,0,4.1,3.95,1/1/2013,36.24
20130101:1811,0,0,3.95,3.93,1/1/2013,37.12
20130101:1911,0,0,3.92,3.89,1/1/2013,36.34
20130101:2011,0,0,3.9,3.84,1/1/2013,36.3
20130101:2111,0,0,3.87,3.79,1/1/2013,33.59
20130101:2211,0,0,3.77,3.47,1/1/2013,34.65
20130101:2311,0,0,3.66,3.14,1/1/2013,25.34
20130102:0011,0,0,3.56,2.81,2/1/2013,23.61
20130102:0111,0,0,3.58,3.35,2/1/2013,14.92
20130102:0211,0,0,3.6,3.89,2/1/2013,16.45
20130102:0311,0,0,3.62,4.43,2/1/2013,11.81
20130102:0411,0,0,3.59,4.41,2/1/2013,11.99
20130102:0511,0,0,3.56,4.4,2/1/2013,29.67
20130102:0611,0,0,3.53,4.39,2/1/2013,31.03
20130102:0711,0,0,3.77,4.41,2/1/2013,44.38
20130102:0811,0,0.32,4.01,4.43,2/1/2013,39.42
20130102:0911,260.75,5.37,4.26,4.46,2/1/2013,38.54
20130102:1011,160.28,8.79,4.61,4.67,2/1/2013,38.68
20130102:1111,259.41,10.35,4.97,4.89,2/1/2013,38.49
20130102:1211,244.62,9.9,5.32,5.1,2/1/2013,38.07
20130102:1311,147.87,7.49,5.05,4.89,2/1/2013,37.95
20130102:1411,5.42,3.32,4.79,4.67,2/1/2013,37.91
20130102:1511,0,0,4.52,4.46,2/1/2013,38.85
20130102:1611,0,0,4.6,4.69,2/1/2013,39.92
20130102:1711,0,0,4.68,4.93,2/1/2013,40.52
20130102:1811,0,0,4.76,5.17,2/1/2013,39.62
20130102:1911,0,0,4.88,5.16,2/1/2013,38.75
20130102:2011,0,0,5,5.14,2/1/2013,37.46
20130102:2111,0,0,5.12,5.13,2/1/2013,36.94
20130102:2211,0,0,5.3,5.39,2/1/2013,36.77
20130102:2311,0,0,5.47,5.65,2/1/2013,34.21
20130103:0011,0,0,5.65,5.9,3/1/2013,25.07
20130103:0111,0,0,6.4,6.03,3/1/2013,20.07
20130103:0211,0,0,7.15,6.16,3/1/2013,14.54
20130103:0311,0,0,7.9,6.29,3/1/2013,13.99
20130103:0411,0,0,8.13,6.38,3/1/2013,13.92
20130103:0511,0,0,8.36,6.46,3/1/2013,17.99
20130103:0611,0,0,8.59,6.55,3/1/2013,28.12
20130103:0711,0,0,8.48,7.08,3/1/2013,35.83
20130103:0811,0,0.36,8.36,7.6,3/1/2013,36.39
20130103:0911,188.03,5.42,8.25,8.12,3/1/2013,36.52
20130103:1011,258.35,8.87,7.99,8.63,3/1/2013,36.71
20130103:1111,363.66,10.44,7.74,9.13,3/1/2013,36.6
20130103:1211,260.68,10.01,7.49,9.63,3/1/2013,36.51
20130103:1311,76.58,7.61,7.4,9.41,3/1/2013,36.4
20130103:1411,10.84,3.44,7.3,9.19,3/1/2013,36.41
20130103:1511,0,0,7.21,8.97,3/1/2013,36.49
20130103:1611,0,0,7.05,8.67,3/1/2013,36.62
20130103:1711,0,0,6.88,8.38,3/1/2013,36.74
20130103:1811,0,0,6.71,8.08,3/1/2013,36.75
20130103:1911,0,0,6.68,7.76,3/1/2013,36.41
20130103:2011,0,0,6.64,7.44,3/1/2013,35.89
20130103:2111,0,0,6.61,7.12,3/1/2013,35.43
20130103:2211,0,0,6.58,7.21,3/1/2013,34.75
20130103:2311,0,0,6.55,7.31,3/1/2013,28.11
20130104:0011,0,0,6.52,7.41,4/1/2013,13.54
20130104:0111,0,0,6.5,7.08,4/1/2013,11.91
20130104:0211,0,0,6.48,6.75,4/1/2013,9.5
20130104:0311,0,0,6.46,6.43,4/1/2013,11.04
20130104:0411,0,0,6.47,5.48,4/1/2013,10.75
20130104:0511,0,0,6.47,4.53,4/1/2013,17.94
20130104:0611,0,0,6.47,3.59,4/1/2013,34.07
20130104:0711,0,0,6.83,4.43,4/1/2013,36.93
20130104:0811,0,0.41,7.19,5.28,4/1/2013,36.95
20130104:0911,7.23,5.49,7.55,6.12,4/1/2013,36.68
20130104:1011,18.07,8.95,7.83,6.52,4/1/2013,36.8
20130104:1111,16.26,10.53,8.12,6.92,4/1/2013,36.64
20130104:1211,11.74,10.12,8.41,7.32,4/1/2013,36.46
20130104:1311,14.45,7.73,8.36,7.61,4/1/2013,36.32
20130104:1411,9.03,3.57,8.31,7.89,4/1/2013,35.84
20130104:1511,0,0,8.26,8.18,4/1/2013,36.08
20130104:1611,0,0,8.19,7.91,4/1/2013,36.79
20130104:1711,0,0,8.12,7.64,4/1/2013,37.43
20130104:1811,0,0,8.05,7.37,4/1/2013,37.15
20130104:1911,0,0,8.02,7.36,4/1/2013,36.47
20130104:2011,0,0,7.98,7.35,4/1/2013,36.03
20130104:2111,0,0,7.95,7.34,4/1/2013,35.43
20130104:2211,0,0,7.78,6.42,4/1/2013,36.03
20130104:2311,0,0,7.62,5.51,4/1/2013,32.01
20130105:0011,0,0,7.45,4.59,5/1/2013,30.86
20130105:0111,0,0,7.15,4.19,5/1/2013,32.37
20130105:0211,0,0,6.85,3.79,5/1/2013,24.8
20130105:0311,0,0,6.55,3.39,5/1/2013,30.95
20130105:0411,0,0,6.16,2.79,5/1/2013,32.77
20130105:0511,0,0,5.76,2.18,5/1/2013,33.75
20130105:0611,0,0,5.37,1.57,5/1/2013,34.02
20130105:0711,0,0,5.18,1.43,5/1/2013,33.93
20130105:0811,0,0.47,4.98,1.29,5/1/2013,32.59
20130105:0911,5.42,5.56,4.79,1.14,5/1/2013,38
20130105:1011,151.38,9.04,5.26,1.45,5/1/2013,36.71
20130105:1111,18.07,10.64,5.74,1.75,5/1/2013,36.75
20130105:1211,38.84,10.24,6.21,2.06,5/1/2013,36.53
20130105:1311,24.39,7.86,6.07,2.1,5/1/2013,36.13
20130105:1411,2.71,3.71,5.94,2.15,5/1/2013,36.15
20130105:1511,0,0,5.8,2.19,5/1/2013,36.79
20130105:1611,0,0,5.84,2.62,5/1/2013,38.12
20130105:1711,0,0,5.87,3.05,5/1/2013,46.59
20130105:1811,0,0,5.91,3.48,5/1/2013,40.6
20130105:1911,0,0,6.03,3.66,5/1/2013,36.96
20130105:2011,0,0,6.14,3.85,5/1/2013,36.25
20130105:2111,0,0,6.26,4.04,5/1/2013,35.88
20130105:2211,0,0,6.34,3.67,5/1/2013,35.7
20130105:2311,0,0,6.41,3.3,5/1/2013,35.44
20130106:0011,0,0,6.49,2.92,6/1/2013,32.78
20130106:0111,0,0,6.46,3.25,6/1/2013,32.02
20130106:0211,0,0,6.43,3.57,6/1/2013,32.25
20130106:0311,0,0,6.39,3.89,6/1/2013,32.41
20130106:0411,0,0,6.46,3.86,6/1/2013,32.45
20130106:0511,0,0,6.52,3.83,6/1/2013,32.8
20130106:0611,0,0,6.58,3.79,6/1/2013,33.27
20130106:0711,0,0,6.74,4.07,6/1/2013,32.97
20130106:0811,0,0.54,6.91,4.34,6/1/2013,33.65
20130106:0911,198.73,5.64,7.08,4.62,6/1/2013,34.25
20130106:1011,14.45,9.13,7.16,4.72,6/1/2013,34.96
20130106:1111,23.49,10.75,7.24,4.82,6/1/2013,35.98
20130106:1211,14.45,10.36,7.33,4.92,6/1/2013,35.95
20130106:1311,10.84,8,6.86,4.45,6/1/2013,34.86
20130106:1411,23.85,3.85,6.39,3.98,6/1/2013,34.85
20130106:1511,0,0,5.91,3.5,6/1/2013,35.18
20130106:1611,0,0,5.55,3.08,6/1/2013,32.1
20130106:1711,0,0,5.2,2.66,6/1/2013,37.36
20130106:1811,0,0,4.84,2.23,6/1/2013,40.05
20130106:1911,0,0,4.56,2.11,6/1/2013,38.25
20130106:2011,0,0,4.29,1.98,6/1/2013,36.96
20130106:2111,0,0,4.01,1.85,6/1/2013,36.06
20130106:2211,0,0,3.9,1.58,6/1/2013,36.32
20130106:2311,0,0,3.78,1.31,6/1/2013,34.56
20130107:0011,0,0,3.67,1.03,7/1/2013,34.96
20130107:0111,0,0,3.45,0.88,7/1/2013,33.7
20130107:0211,0,0,3.23,0.73,7/1/2013,33.12
20130107:0311,0,0,3.01,0.58,7/1/2013,33.26
20130107:0411,0,0,3.11,0.7,7/1/2013,30.17
20130107:0511,0,0,3.2,0.83,7/1/2013,29.9
20130107:0611,0,0,3.29,0.95,7/1/2013,46.55
20130107:0711,0,0,3.45,1.47,7/1/2013,61.99
20130107:0811,0,0.61,3.61,1.98,7/1/2013,63.74
20130107:0911,14.45,5.73,3.77,2.5,7/1/2013,64.94
20130107:1011,18.07,9.23,4.09,2.46,7/1/2013,64.19
20130107:1111,21.68,10.87,4.41,2.43,7/1/2013,64
20130107:1211,23.49,10.49,4.73,2.4,7/1/2013,63.52
20130107:1311,22.58,8.14,4.82,2.51,7/1/2013,62.65
20130107:1411,14.45,4,4.91,2.62,7/1/2013,62.63
20130107:1511,0,0,5,2.73,7/1/2013,60.96
20130107:1611,0,0,5.18,2.88,7/1/2013,60.84
20130107:1711,0,0,5.37,3.03,7/1/2013,71.47
20130107:1811,0,0,5.55,3.19,7/1/2013,49.04
20130107:1911,0,0,5.69,3.14,7/1/2013,39.14
20130107:2011,0,0,5.84,3.09,7/1/2013,38.05
20130107:2111,0,0,5.98,3.03,7/1/2013,37.45
20130107:2211,0,0,6.03,2.86,7/1/2013,36.49
20130107:2311,0,0,6.08,2.68,7/1/2013,35.55
20130108:0011,0,0,6.13,2.5,8/1/2013,35.44
20130108:0111,0,0,6.15,2.35,8/1/2013,35.01
20130108:0211,0,0,6.17,2.21,8/1/2013,34.83
20130108:0311,0,0,6.18,2.07,8/1/2013,34.84
20130108:0411,0,0,6.17,2.29,8/1/2013,35.21
20130108:0511,0,0,6.15,2.51,8/1/2013,36.26
20130108:0611,0,0,6.13,2.73,8/1/2013,39.47
20130108:0711,0,0,6.22,2.54,8/1/2013,49.62
20130108:0811,0,0.69,6.3,2.34,8/1/2013,52.13
20130108:0911,14.45,5.82,6.39,2.15,8/1/2013,52.29
20130108:1011,29.81,9.34,6.45,2.29,8/1/2013,52.33
20130108:1111,19.87,10.99,6.51,2.44,8/1/2013,52.31
20130108:1211,29.81,10.63,6.57,2.58,8/1/2013,49.79
20130108:1311,46.49,8.29,6.27,2.02,8/1/2013,52.31
20130108:1411,3.61,4.16,5.97,1.47,8/1/2013,49.72
20130108:1511,0,0,5.67,0.91,8/1/2013,49.62
20130108:1611,0,0,5.55,0.88,8/1/2013,54.48
20130108:1711,0,0,5.42,0.85,8/1/2013,68.92
20130108:1811,0,0,5.3,0.81,8/1/2013,66.28
20130108:1911,0,0,5.45,1.08,8/1/2013,52.34
20130108:2011,0,0,5.59,1.35,8/1/2013,46.53
20130108:2111,0,0,5.74,1.61,8/1/2013,39.31
20130108:2211,0,0,5.72,1.84,8/1/2013,38.21
20130108:2311,0,0,5.7,2.06,8/1/2013,36.12
20130109:0011,0,0,5.68,2.29,9/1/2013,36.47
20130109:0111,0,0,5.69,2.39,9/1/2013,35.9
20130109:0211,0,0,5.71,2.49,9/1/2013,35.4
20130109:0311,0,0,5.72,2.59,9/1/2013,35.73
20130109:0411,0,0,5.72,2.65,9/1/2013,35.91
20130109:0511,0,0,5.71,2.71,9/1/2013,37.27
20130109:0611,0,0,5.7,2.77,9/1/2013,39.4
20130109:0711,0,0,5.79,2.51,9/1/2013,42.84
